CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF
1098;5107792;SANTO ANTÔNIO DO LESTE;Santo Antônio do Leste;MT
1099;2205003;ITAINÓPOLIS;Itainópolis;PI
1100;5107883;SERRA NOVA DOURADA;Serra Nova Dourada;MT
1101;2205102;ITAUEIRA;Itaueira;PI
1102;5108352;VALE DE SÃO DOMINGOS;Vale de São Domingos;MT
1103;2205201;JAICÓS;Jaicós;PI
1104;2207793;PAU D'ARCO DO PIAUÍ;Pau D'Arco do Piauí;PI
1105;2205300;JERUMENHA;Jerumenha;PI
1107;2205409;JOAQUIM PIRES;Joaquim Pires;PI
1108;2406155;JUNDIÁ;Jundiá;RN
1109;2205508;JOSÉ DE FREITAS;José de Freitas;PI
1111;2205607;LANDRI SALES;Landri Sales;PI
1113;2205706;LUÍS CORREIA;Luís Correia;PI
1115;2205805;LUZILÂNDIA;Luzilândia;PI
1116;3302858;MESQUITA;Mesquita;RJ
1117;2205904;MANOEL EMÍDIO;Manoel Emídio;PI
1118;4300034;ACEGUÁ;Aceguá;RS
1119;2206001;MARCOS PARENTE;Marcos Parente;PI
1120;4300471;ALMIRANTE TAMANDARÉ DO SUL;Almirante Tamandaré do Sul;RS
1121;2206100;MATIAS OLÍMPIO;Matias Olímpio;PI
1122;4301073;ARROIO DO PADRE;Arroio do Padre;RS
1123;2206209;MIGUEL ALVES;Miguel Alves;PI
1124;4302220;BOA VISTA DO CADEADO;Boa Vista do Cadeado;RS
1125;2206308;MIGUEL LEÃO;Miguel Leão;PI
1126;4302238;BOA VISTA DO INCRA;Boa Vista do Incra;RS
1127;2206407;MONSENHOR GIL;Monsenhor Gil;PI
1128;4302584;BOZANO;Bozano;RS
1129;2206506;MONSENHOR HIPÓLITO;Monsenhor Hipólito;PI
1130;4304614;CANUDOS DO VALE;Canudos do Vale;RS
1131;2206605;MONTE ALEGRE DO PIAUÍ;Monte Alegre do Piauí;PI
1132;4304622;CAPÃO BONITO DO SUL;Capão Bonito do Sul;RS
1133;2206704;NAZARÉ DO PIAUÍ;Nazaré do Piauí;PI
1134;4304655;CAPÃO DO CIPÓ;Capão do Cipó;RS
1135;2206803;NOSSA SENHORA DOS REMÉDIOS;Nossa Senhora dos Remédios;PI
1136;4305835;COQUEIRO BAIXO;Coqueiro Baixo;RS
1137;2206902;NOVO ORIENTE DO PIAUÍ;Novo Oriente do Piauí;PI
1138;4305934;CORONEL PILAR;Coronel Pilar;RS
1139;2207009;OEIRAS;Oeiras;PI
1140;4306130;CRUZALTENSE;Cruzaltense;RS
1141;2203420;DOMINGOS MOURÃO;Domingos Mourão;PI
1142;4308433;FORQUETINHA;Forquetinha;RS
1143;2207207;PADRE MARCOS;Padre Marcos;PI
1144;4310652;ITATI;Itati;RS
1145;2207306;PAES LANDIM;Paes Landim;PI
1146;4310876;JACUIZINHO;Jacuizinho;RS
1147;2207405;PALMEIRA DO PIAUÍ;Palmeira do Piauí;PI
1148;4311239;LAGOA BONITA DO SUL;Lagoa Bonita do Sul;RS
1149;2207504;PALMEIRAIS;Palmeirais;PI
1150;4312179;MATO QUEIMADO;Mato Queimado;RS
1151;2207603;PARNAGUÁ;Parnaguá;PI
1152;4313466;NOVO XINGU;Novo Xingu;RS
1153;2207702;PARNAÍBA;Parnaíba;PI
1154;4314134;PAULO BENTO;Paulo Bento;RS
1155;2207801;PAULISTANA;Paulistana;PI
1156;4314175;PEDRAS ALTAS;Pedras Altas;RS
1157;2207900;PEDRO II;Pedro II;PI
1158;4314464;PINHAL DA SERRA;Pinhal da Serra;RS
1159;2208007;PICOS;Picos;PI
1160;4314548;PINTO BANDEIRA;Pinto Bandeira;RS
1161;2208106;PIMENTEIRAS;Pimenteiras;PI
1162;4315313;QUATRO IRMÃOS;Quatro Irmãos;RS
1163;2208205;PIO IX;Pio IX;PI
1164;4315958;ROLADOR;Rolador;RS
1165;2208304;PIRACURUCA;Piracuruca;PI
1166;4316733;SANTA CECÍLIA DO SUL;Santa Cecília do Sul;RS
1167;2208403;PIRIPIRI;Piripiri;PI
1168;4316972;SANTA MARGARIDA DO SUL;Santa Margarida do Sul;RS
1169;2208502;PORTO;Porto;PI
1170;4318614;SÃO JOSÉ DO SUL;São José do Sul;RS
1171;2208601;PRATA DO PIAUÍ;Prata do Piauí;PI
1172;4319364;SÃO PEDRO DAS MISSÕES;São Pedro das Missões;RS
1173;2208700;REDENÇÃO DO GURGUÉIA;Redenção do Gurguéia;PI
1174;4321469;TIO HUGO;Tio Hugo;RS
1175;2208809;REGENERAÇÃO;Regeneração;PI
1176;4323770;WESTFALIA;Westfália;RS
1177;2208908;RIBEIRO GONÇALVES;Ribeiro Gonçalves;PI
1178;5003900;FIGUEIRÃO;Figueirão;MS
1179;2209005;RIO GRANDE DO PIAUÍ;Rio Grande do Piauí;PI
1181;2209104;SANTA CRUZ DO PIAUÍ;Santa Cruz do Piauí;PI
1183;2209203;SANTA FILOMENA;Santa Filomena;PI
1184;5104526;IPIRANGA DO NORTE;Ipiranga do Norte;MT
1185;2209302;SANTA LUZ;Santa Luz;PI
1186;5104542;ITANHANGÁ;Itanhangá;MT
1187;2209401;SANTO ANTÔNIO DE LISBOA;Santo Antônio de Lisboa;PI
1188;2200954;AROEIRAS DO ITAIM;Aroeiras do Itaim;PI
1189;2209500;SANTO INÁCIO DO PIAUÍ;Santo Inácio do Piauí;PI
1191;2209609;SÃO FÉLIX DO PIAUÍ;São Félix do Piauí;PI
1193;2209708;SÃO FRANCISCO DO PIAUÍ;São Francisco do Piauí;PI
1195;2209807;SÃO GONÇALO DO PIAUÍ;São Gonçalo do Piauí;PI
1197;2209906;SÃO JOÃO DA SERRA;São João da Serra;PI
1199;2210003;SÃO JOÃO DO PIAUÍ;São João do Piauí;PI
1201;2210102;SÃO JOSÉ DO PEIXE;São José do Peixe;PI
1203;2210201;SÃO JOSÉ DO PIAUÍ;São José do Piauí;PI
1205;2210300;SÃO JULIÃO;São Julião;PI
1207;2210409;SÃO MIGUEL DO TAPUIO;São Miguel do Tapuio;PI
1209;2210508;SÃO PEDRO DO PIAUÍ;São Pedro do Piauí;PI
1211;2210607;SÃO RAIMUNDO NONATO;São Raimundo Nonato;PI
1213;2210706;SIMÕES;Simões;PI
1215;2210805;SIMPLÍCIO MENDES;Simplício Mendes;PI
1217;2210904;SOCORRO DO PIAUÍ;Socorro do Piauí;PI
1219;2211001;TERESINA;Teresina;PI
1221;2211100;UNIÃO;União;PI
1223;2211209;URUÇUÍ;Uruçuí;PI
1225;2211308;VALENÇA DO PIAUÍ;Valença do Piauí;PI
1227;2211407;VÁRZEA GRANDE;Várzea Grande;PI
1229;2203354;DIRCEU ARCOVERDE;Dirceu Arcoverde;PI
1231;2300150;ACARAPE;Acarape;CE
1233;2301851;BANABUIÚ;Banabuiú;CE
1235;2301950;BARREIRA;Barreira;CE
1237;2302057;BARROQUINHA;Barroquinha;CE
1239;2303956;CHOROZINHO;Chorozinho;CE
1241;2304236;CROATÁ;Croatá;CE
1243;2304269;DEPUTADO IRAPUAN PINHEIRO;Deputado Irapuan Pinheiro;CE
1245;2304277;ERERÊ;Ereré;CE
1247;2304285;EUSÉBIO;Eusébio;CE
1249;2304657;GRAÇA;Graça;CE
1251;2304954;GUAIÚBA;Guaiúba;CE
1253;2305233;HORIZONTE;Horizonte;CE
1255;2305266;IBARETAMA;Ibaretama;CE
1257;2305332;IBICUITINGA;Ibicuitinga;CE
1259;2305654;IPAPORANGA;Ipaporanga;CE
1261;2307635;MADALENA;Madalena;CE
1263;2308377;MIRAÍMA;Miraíma;CE
1265;2309458;OCARA;Ocara;CE
1267;2310852;PINDORETAMA;Pindoretama;CE
1269;2310951;PIRES FERREIRA;Pires Ferreira;CE
1271;2311231;POTIRETAMA;Potiretama;CE
1273;2311959;SALITRE;Salitre;CE
1275;2313252;TARRAFAS;Tarrafas;CE
1277;2313351;TEJUÇUOCA;Tejuçuoca;CE
1279;2313559;TURURU;Tururu;CE
1281;2100956;ARAME;Arame;MA
1283;2106755;MIRANDA DO NORTE;Miranda do Norte;MA
1285;2110039;SANTA LUZIA DO PARUÁ;Santa Luzia do Paruá;MA
1287;2114007;ZÉ DOCA;Zé Doca;MA
1289;2203453;DOM INOCÊNCIO;Dom Inocêncio;PI
1291;2209856;SÃO JOÃO DA CANABRAVA;São João da Canabrava;PI
1293;2207751;PASSAGEM FRANCA DO PIAUÍ;Passagem Franca do Piauí;PI
1295;2209153;SANTA CRUZ DOS MILAGRES;Santa Cruz dos Milagres;PI
1297;2202026;BURITI DOS MONTES;Buriti dos Montes;PI
1299;2202059;CABECEIRAS DO PIAUÍ;Cabeceiras do Piauí;PI
1301;2300101;ABAIARA;Abaiara;CE
1303;2300200;ACARAÚ;Acaraú;CE
1305;2300309;ACOPIARA;Acopiara;CE
1307;2300408;AIUABA;Aiuaba;CE
1309;2300507;ALCÂNTARAS;Alcântaras;CE
1311;2300606;ALTANEIRA;Altaneira;CE
1313;2300705;ALTO SANTO;Alto Santo;CE
1315;2300804;ANTONINA DO NORTE;Antonina do Norte;CE
1317;2300903;APUIARÉS;Apuiarés;CE
1319;2301000;AQUIRAZ;Aquiraz;CE
1321;2301109;ARACATI;Aracati;CE
1323;2301208;ARACOIABA;Aracoiaba;CE
1325;2301307;ARARIPE;Araripe;CE
1327;2301406;ARATUBA;Aratuba;CE
1329;2301505;ARNEIROZ;Arneiroz;CE
1331;2301604;ASSARÉ;Assaré;CE
1333;2301703;AURORA;Aurora;CE
1335;2301802;BAIXIO;Baixio;CE
1337;2301901;BARBALHA;Barbalha;CE
1339;2302008;BARRO;Barro;CE
1341;2302107;BATURITÉ;Baturité;CE
1343;2302206;BEBERIBE;Beberibe;CE
1345;2302305;BELA CRUZ;Bela Cruz;CE
1347;2302404;BOA VIAGEM;Boa Viagem;CE
1349;2302503;BREJO SANTO;Brejo Santo;CE
1351;2302602;CAMOCIM;Camocim;CE
1353;2302701;CAMPOS SALES;Campos Sales;CE
1355;2302800;CANINDÉ;Canindé;CE
1357;2302909;CAPISTRANO;Capistrano;CE
1359;2303006;CARIDADE;Caridade;CE
1361;2303105;CARIRÉ;Cariré;CE
1363;2303204;CARIRIAÇU;Caririaçu;CE
1365;2303303;CARIÚS;Cariús;CE
1367;2303402;CARNAUBAL;Carnaubal;CE
1369;2303501;CASCAVEL;Cascavel;CE
1371;2303600;CATARINA;Catarina;CE
1373;2303709;CAUCAIA;Caucaia;CE
1375;2303808;CEDRO;Cedro;CE
1377;2303907;CHAVAL;Chaval;CE
1379;2210656;SIGEFREDO PACHECO;Sigefredo Pacheco;PI
1381;2304004;COREAÚ;Coreaú;CE
1383;2304103;CRATEÚS;Crateús;CE
1385;2304202;CRATO;Crato;CE
1387;2304301;FARIAS BRITO;Farias Brito;CE
1389;2304400;FORTALEZA;Fortaleza;CE
1391;2304509;FRECHEIRINHA;Frecheirinha;CE
1393;2304608;GENERAL SAMPAIO;General Sampaio;CE
1395;2304707;GRANJA;Granja;CE
1397;2304806;GRANJEIRO;Granjeiro;CE
1399;2304905;GROAÍRAS;Groaíras;CE
1401;2305001;GUARACIABA DO NORTE;Guaraciaba do Norte;CE
1403;2305100;GUARAMIRANGA;Guaramiranga;CE
1405;2305209;HIDROLÂNDIA;Hidrolândia;CE
1407;2305308;IBIAPINA;Ibiapina;CE
1409;2305407;ICÓ;Icó;CE
1411;2305506;IGUATU;Iguatu;CE
1413;2305605;INDEPENDÊNCIA;Independência;CE
1415;2305704;IPAUMIRIM;Ipaumirim;CE
1417;2305803;IPU;Ipu;CE
1419;2305902;IPUEIRAS;Ipueiras;CE
1421;2306009;IRACEMA;Iracema;CE
1423;2306108;IRAUÇUBA;Irauçuba;CE
1425;2306207;ITAIÇABA;Itaiçaba;CE
1427;2306306;ITAPAJÉ;Itapajé;CE
1429;2306405;ITAPIPOCA;Itapipoca;CE
1431;2306504;ITAPIÚNA;Itapiúna;CE
1433;2306603;ITATIRA;Itatira;CE
1435;2306702;JAGUARETAMA;Jaguaretama;CE
1437;2306801;JAGUARIBARA;Jaguaribara;CE
1439;2306900;JAGUARIBE;Jaguaribe;CE
1441;2307007;JAGUARUANA;Jaguaruana;CE
1443;2307106;JARDIM;Jardim;CE
1445;2307205;JATI;Jati;CE
1447;2307304;JUAZEIRO DO NORTE;Juazeiro do Norte;CE
1449;2307403;JUCÁS;Jucás;CE
1451;2307502;LAVRAS DA MANGABEIRA;Lavras da Mangabeira;CE
1453;2307601;LIMOEIRO DO NORTE;Limoeiro do Norte;CE
1455;2307700;MARANGUAPE;Maranguape;CE
1457;2307809;MARCO;Marco;CE
1459;2307908;MARTINÓPOLE;Martinópole;CE
1461;2308005;MASSAPÊ;Massapê;CE
1463;2308104;MAURITI;Mauriti;CE
1465;2308203;MERUOCA;Meruoca;CE
1467;2308302;MILAGRES;Milagres;CE
1469;2308401;MISSÃO VELHA;Missão Velha;CE
1471;2308500;MOMBAÇA;Mombaça;CE
1473;2308609;MONSENHOR TABOSA;Monsenhor Tabosa;CE
1475;2308708;MORADA NOVA;Morada Nova;CE
1477;2308807;MORAÚJO;Moraújo;CE
1479;2308906;MORRINHOS;Morrinhos;CE
1481;2309003;MUCAMBO;Mucambo;CE
1483;2309102;MULUNGU;Mulungu;CE
1485;2309201;NOVA OLINDA;Nova Olinda;CE
1487;2309300;NOVA RUSSAS;Nova Russas;CE
1489;2309409;NOVO ORIENTE;Novo Oriente;CE
1491;2309508;ORÓS;Orós;CE
1493;2309607;PACAJUS;Pacajus;CE
1495;2309706;PACATUBA;Pacatuba;CE
1497;2309805;PACOTI;Pacoti;CE
1499;2309904;PACUJÁ;Pacujá;CE
1501;2310001;PALHANO;Palhano;CE
1503;2310100;PALMÁCIA;Palmácia;CE
1505;2310209;PARACURU;Paracuru;CE
1507;2310308;PARAMBU;Parambu;CE
1509;2310407;PARAMOTI;Paramoti;CE
1511;2310506;PEDRA BRANCA;Pedra Branca;CE
1513;2310605;PENAFORTE;Penaforte;CE
1515;2310704;PENTECOSTE;Pentecoste;CE
1517;2310803;PEREIRO;Pereiro;CE
1519;2310902;PIQUET CARNEIRO;Piquet Carneiro;CE
1521;2311009;PORANGA;Poranga;CE
1523;2311108;PORTEIRAS;Porteiras;CE
1525;2311207;POTENGI;Potengi;CE
1527;2311306;QUIXADÁ;Quixadá;CE
1529;2311405;QUIXERAMOBIM;Quixeramobim;CE
1531;2311504;QUIXERÉ;Quixeré;CE
1533;2311603;REDENÇÃO;Redenção;CE
1535;2311702;RERIUTABA;Reriutaba;CE
1537;2311801;RUSSAS;Russas;CE
1539;2311900;SABOEIRO;Saboeiro;CE
1541;2312007;SANTANA DO ACARAÚ;Santana do Acaraú;CE
1543;2312106;SANTANA DO CARIRI;Santana do Cariri;CE
1545;2312205;SANTA QUITÉRIA;Santa Quitéria;CE
1547;2312304;SÃO BENEDITO;São Benedito;CE
1549;2312403;SÃO GONÇALO DO AMARANTE;São Gonçalo do Amarante;CE
1551;2312502;SÃO JOÃO DO JAGUARIBE;São João do Jaguaribe;CE
1553;2312601;SÃO LUÍS DO CURU;São Luís do Curu;CE
1555;2312700;SENADOR POMPEU;Senador Pompeu;CE
1557;2312809;SENADOR SÁ;Senador Sá;CE
1559;2312908;SOBRAL;Sobral;CE
1561;2313005;SOLONÓPOLE;Solonópole;CE
1563;2313104;TABULEIRO DO NORTE;Tabuleiro do Norte;CE
1565;2313203;TAMBORIL;Tamboril;CE
1567;2313302;TAUÁ;Tauá;CE
1569;2313401;TIANGUÁ;Tianguá;CE
1571;2313500;TRAIRI;Trairi;CE
1573;2313609;UBAJARA;Ubajara;CE
1575;2313708;UMARI;Umari;CE
1577;2313807;URUBURETAMA;Uruburetama;CE
1579;2313906;URUOCA;Uruoca;CE
1581;2314003;VÁRZEA ALEGRE;Várzea Alegre;CE
1583;2314102;VIÇOSA DO CEARÁ;Viçosa do Ceará;CE
1585;2307650;MARACANAÚ;Maracanaú;CE
1587;2300754;AMONTADA;Amontada;CE
1589;2304251;CRUZ;Cruz;CE
1591;2304350;FORQUILHA;Forquilha;CE
1593;2305357;ICAPUÍ;Icapuí;CE
1595;2306553;ITAREMA;Itarema;CE
1597;2308351;MILHÃ;Milhã;CE
1599;2310258;PARAIPABA;Paraipaba;CE
1601;2400109;ACARI;Acari;RN
1603;2400208;ASSU;Açu;RN
1605;2400307;AFONSO BEZERRA;Afonso Bezerra;RN
1607;2400406;ÁGUA NOVA;Água Nova;RN
1609;2400505;ALEXANDRIA;Alexandria;RN
1611;2400604;ALMINO AFONSO;Almino Afonso;RN
1613;2400703;ALTO DO RODRIGUES;Alto do Rodrigues;RN
1615;2400802;ANGICOS;Angicos;RN
1617;2400901;ANTÔNIO MARTINS;Antônio Martins;RN
1619;2401008;APODI;Apodi;RN
1621;2401107;AREIA BRANCA;Areia Branca;RN
1623;2401206;ARÊS;Arês;RN
1625;2401305;CAMPO GRANDE;Campo Grande;RN
1627;2401404;BAÍA FORMOSA;Baía Formosa;RN
1629;2401503;BARCELONA;Barcelona;RN
1631;2401602;BENTO FERNANDES;Bento Fernandes;RN
1633;2401701;BOM JESUS;Bom Jesus;RN
1635;2401800;BREJINHO;Brejinho;RN
1637;2401909;CAIÇARA DO RIO DO VENTO;Caiçara do Rio do Vento;RN
1639;2402006;CAICÓ;Caicó;RN
1641;2402105;CAMPO REDONDO;Campo Redondo;RN
1643;2402204;CANGUARETAMA;Canguaretama;RN
1645;2402303;CARAÚBAS;Caraúbas;RN
1647;2402402;CARNAÚBA DOS DANTAS;Carnaúba dos Dantas;RN
1649;2402501;CARNAUBAIS;Carnaubais;RN
1651;2402600;CEARÁ-MIRIM;Ceará-Mirim;RN
1653;2402709;CERRO CORÁ;Cerro Corá;RN
1655;2402808;CORONEL EZEQUIEL;Coronel Ezequiel;RN
1657;2402907;CORONEL JOÃO PESSOA;Coronel João Pessoa;RN
1659;2403004;CRUZETA;Cruzeta;RN
1661;2403103;CURRAIS NOVOS;Currais Novos;RN
1663;2403202;DOUTOR SEVERIANO;Doutor Severiano;RN
1665;2403301;ENCANTO;Encanto;RN
1667;2403400;EQUADOR;Equador;RN
1669;2403509;ESPÍRITO SANTO;Espírito Santo;RN
1671;2403608;EXTREMOZ;Extremoz;RN
1673;2403707;FELIPE GUERRA;Felipe Guerra;RN
1675;2403806;FLORÂNIA;Florânia;RN
1677;2403905;FRANCISCO DANTAS;Francisco Dantas;RN
1679;2404101;GALINHOS;Galinhos;RN
1681;2404200;GOIANINHA;Goianinha;RN
1683;2404309;GOVERNADOR DIX-SEPT ROSADO;Governador Dix-Sept Rosado;RN
1685;2404408;GROSSOS;Grossos;RN
1687;2404507;GUAMARÉ;Guamaré;RN
1689;2404606;IELMO MARINHO;Ielmo Marinho;RN
1691;2404705;IPANGUAÇU;Ipanguaçu;RN
1693;2404804;IPUEIRA;Ipueira;RN
1695;2404903;ITAÚ;Itaú;RN
1697;2405009;JAÇANÃ;Jaçanã;RN
1699;2405108;JANDAÍRA;Jandaíra;RN
1701;2405207;JANDUÍS;Janduís;RN
1703;2405306;BOA SAÚDE;Januário Cicco;RN
1705;2405405;JAPI;Japi;RN
1707;2405504;JARDIM DE ANGICOS;Jardim de Angicos;RN
1709;2405603;JARDIM DE PIRANHAS;Jardim de Piranhas;RN
1711;2405702;JARDIM DO SERIDÓ;Jardim do Seridó;RN
1713;2405801;JOÃO CÂMARA;João Câmara;RN
1715;2405900;JOÃO DIAS;João Dias;RN
1717;2406007;JOSÉ DA PENHA;José da Penha;RN
1719;2406106;JUCURUTU;Jucurutu;RN
1721;2407609;MESSIAS TARGINO;Messias Targino;RN
1723;2406205;Lagoa d'Anta;Lagoa d'Anta;RN
1725;2406304;LAGOA DE PEDRAS;Lagoa de Pedras;RN
1727;2406403;LAGOA DE VELHOS;Lagoa de Velhos;RN
1729;2406502;LAGOA NOVA;Lagoa Nova;RN
1731;2406601;LAGOA SALGADA;Lagoa Salgada;RN
1733;2406700;LAJES;Lajes;RN
1735;2406809;LAJES PINTADAS;Lajes Pintadas;RN
1737;2406908;LUCRÉCIA;Lucrécia;RN
1739;2407005;LUÍS GOMES;Luís Gomes;RN
1741;2407104;MACAÍBA;Macaíba;RN
1743;2407203;MACAU;Macau;RN
1745;2407302;MARCELINO VIEIRA;Marcelino Vieira;RN
1747;2407401;MARTINS;Martins;RN
1749;2407500;MAXARANGUAPE;Maxaranguape;RN
1751;2404002;FRUTUOSO GOMES;Frutuoso Gomes;RN
1753;2407708;MONTANHAS;Montanhas;RN
1755;2407807;MONTE ALEGRE;Monte Alegre;RN
1757;2407906;MONTE DAS GAMELEIRAS;Monte das Gameleiras;RN
1759;2408003;MOSSORÓ;Mossoró;RN
1761;2408102;NATAL;Natal;RN
1763;2408201;NÍSIA FLORESTA;Nísia Floresta;RN
1765;2408300;NOVA CRUZ;Nova Cruz;RN
1767;2408409;OLHO D'AGUA DO BORGES;Olho d'Água do Borges;RN
1769;2408508;OURO BRANCO;Ouro Branco;RN
1771;2408607;PARANÁ;Paraná;RN
1773;2408706;PARAÚ;Paraú;RN
1775;2408805;PARAZINHO;Parazinho;RN
1777;2408904;PARELHAS;Parelhas;RN
1779;2403251;PARNAMIRIM;Parnamirim;RN
1781;2409100;PASSA E FICA;Passa e Fica;RN
1783;2409209;PASSAGEM;Passagem;RN
1785;2409308;PATU;Patu;RN
1787;2409407;PAU DOS FERROS;Pau dos Ferros;RN
1789;2409506;PEDRA GRANDE;Pedra Grande;RN
1791;2409605;PEDRA PRETA;Pedra Preta;RN
1793;2409704;PEDRO AVELINO;Pedro Avelino;RN
1795;2409803;PEDRO VELHO;Pedro Velho;RN
1797;2409902;PENDÊNCIAS;Pendências;RN
1799;2410009;PILÕES;Pilões;RN
1801;2410108;POÇO BRANCO;Poço Branco;RN
1803;2410207;PORTALEGRE;Portalegre;RN
1805;2410306;SERRA CAIADA;Serra Caiada;RN
1807;2410405;PUREZA;Pureza;RN
1809;2410504;RAFAEL FERNANDES;Rafael Fernandes;RN
1811;2410702;RIACHO DA CRUZ;Riacho da Cruz;RN
1813;2410801;RIACHO DE SANTANA;Riacho de Santana;RN
1815;2410900;RIACHUELO;Riachuelo;RN
1817;2411007;RODOLFO FERNANDES;Rodolfo Fernandes;RN
1819;2411106;RUY BARBOSA;Ruy Barbosa;RN
1821;2411908;SÃO FRANCISCO DO OESTE;São Francisco do Oeste;RN
1823;2411205;SANTA CRUZ;Santa Cruz;RN
1825;2411429;SANTANA DO SERIDÓ;Santana do Seridó;RN
1827;2411403;SANTANA DO MATOS;Santana do Matos;RN
1829;2411502;SANTO ANTÔNIO;Santo Antônio;RN
1831;2411601;SÃO BENTO DO NORTE;São Bento do Norte;RN
1833;2411700;SÃO BENTO DO TRAIRÍ;São Bento do Trairí;RN
1835;2411809;SÃO FERNANDO;São Fernando;RN
1837;2412005;SÃO GONÇALO DO AMARANTE;São Gonçalo do Amarante;RN
1839;2412104;SÃO JOÃO DO SABUGI;São João do Sabugi;RN
1841;2412203;SÃO JOSÉ DE MIPIBU;São José de Mipibu;RN
1843;2412302;SÃO JOSÉ DO CAMPESTRE;São José do Campestre;RN
1845;2412401;SÃO JOSÉ DO SERIDÓ;São José do Seridó;RN
1847;2412500;SÃO MIGUEL;São Miguel;RN
1849;2412609;SÃO PAULO DO POTENGI;São Paulo do Potengi;RN
1851;2412708;SÃO PEDRO;São Pedro;RN
1853;2412807;SÃO RAFAEL;São Rafael;RN
1855;2412906;SÃO TOMÉ;São Tomé;RN
1857;2413003;SÃO VICENTE;São Vicente;RN
1859;2413102;SENADOR ELÓI DE SOUZA;Senador Elói de Souza;RN
1861;2413201;SENADOR GEORGINO AVELINO;Senador Georgino Avelino;RN
1863;2413300;SERRA DE SÃO BENTO;Serra de São Bento;RN
1865;2413409;SERRA NEGRA DO NORTE;Serra Negra do Norte;RN
1867;2413508;SERRINHA;Serrinha;RN
1869;2413607;SEVERIANO MELO;Severiano Melo;RN
1871;2413706;SÍTIO NOVO;Sítio Novo;RN
1873;2413805;TABOLEIRO GRANDE;Taboleiro Grande;RN
1875;2413904;TAIPU;Taipu;RN
1877;2414001;TANGARÁ;Tangará;RN
1879;2414100;TENENTE ANANIAS;Tenente Ananias;RN
1881;2414209;TIBAU DO SUL;Tibau do Sul;RN
1883;2414308;TIMBAÚBA DOS BATISTAS;Timbaúba dos Batistas;RN
1885;2414407;TOUROS;Touros;RN
1887;2414506;UMARIZAL;Umarizal;RN
1889;2414605;UPANEMA;Upanema;RN
1891;2414704;VÁRZEA;Várzea;RN
1893;2410603;RAFAEL GODEIRO;Rafael Godeiro;RN
1895;2414803;VERA CRUZ;Vera Cruz;RN
1897;2414902;VIÇOSA;Viçosa;RN
1899;2415008;VILA FLOR;Vila Flor;RN
1901;2500106;ÁGUA BRANCA;Água Branca;PB
1903;2500205;AGUIAR;Aguiar;PB
1905;2500304;ALAGOA GRANDE;Alagoa Grande;PB
1907;2500403;ALAGOA NOVA;Alagoa Nova;PB
1909;2500502;ALAGOINHA;Alagoinha;PB
1911;2500601;ALHANDRA;Alhandra;PB
1913;2500700;SÃO JOÃO DO RIO DO PEIXE;São João do Rio do Peixe;PB
1915;2500809;ARAÇAGI;Araçagi;PB
1917;2500908;ARARA;Arara;PB
1919;2501005;ARARUNA;Araruna;PB
1921;2501104;AREIA;Areia;PB
1923;2501203;AREIAL;Areial;PB
1925;2501302;AROEIRAS;Aroeiras;PB
1927;2413359;SERRA DO MEL;Serra do Mel;RN
1929;2501401;BAÍA DA TRAIÇÃO;Baía da Traição;PB
1931;2501500;BANANEIRAS;Bananeiras;PB
1933;2501609;BARRA DE SANTA ROSA;Barra de Santa Rosa;PB
1935;2501708;BARRA DE SÃO MIGUEL;Barra de São Miguel;PB
1937;2501807;BAYEUX;Bayeux;PB
1939;2501906;BELÉM;Belém;PB
1941;2502003;BELÉM DO BREJO DO CRUZ;Belém do Brejo do Cruz;PB
1943;2502102;BOA VENTURA;Boa Ventura;PB
1945;2502201;BOM JESUS;Bom Jesus;PB
1947;2502300;BOM SUCESSO;Bom Sucesso;PB
1949;2502409;BONITO DE SANTA FÉ;Bonito de Santa Fé;PB
1951;2502508;BOQUEIRÃO;Boqueirão;PB
1953;2502607;IGARACY;Igaracy;PB
1955;2502706;BORBOREMA;Borborema;PB
1957;2502805;BREJO DO CRUZ;Brejo do Cruz;PB
1959;2502904;BREJO DOS SANTOS;Brejo dos Santos;PB
1961;2503001;CAAPORÃ;Caaporã;PB
1963;2503100;CABACEIRAS;Cabaceiras;PB
1965;2503209;CABEDELO;Cabedelo;PB
1967;2503308;CACHOEIRA DOS ÍNDIOS;Cachoeira dos Índios;PB
1969;2503407;CACIMBA DE AREIA;Cacimba de Areia;PB
1971;2503506;CACIMBA DE DENTRO;Cacimba de Dentro;PB
1973;2503605;CAIÇARA;Caiçara;PB
1975;2503704;CAJAZEIRAS;Cajazeiras;PB
1977;2503803;CALDAS BRANDÃO;Caldas Brandão;PB
1979;2503902;CAMALAÚ;Camalaú;PB
1981;2504009;CAMPINA GRANDE;Campina Grande;PB
1983;2504108;CARRAPATEIRA;Carrapateira;PB
1985;2504207;CATINGUEIRA;Catingueira;PB
1987;2504306;CATOLÉ DO ROCHA;Catolé do Rocha;PB
1989;2504405;CONCEIÇÃO;Conceição;PB
1991;2504504;CONDADO;Condado;PB
1993;2504603;CONDE;Conde;PB
1995;2504702;CONGO;Congo;PB
1997;2504801;COREMAS;Coremas;PB
1999;2504900;CRUZ DO ESPÍRITO SANTO;Cruz do Espírito Santo;PB
2001;2505006;CUBATI;Cubati;PB
2003;2505105;CUITÉ;Cuité;PB
